Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,names,Symbol
2020-09-15,10677.7548828125,10938.6318359375,10656.4599609375,10796.951171875,32509451925,0,0,Bitcoin,BTC
2020-09-16,10797.76171875,11100.1240234375,10704.884765625,10974.9052734375,30769986455,0,0,Bitcoin,BTC
2020-09-17,10973.251953125,11037.4208984375,10774.6279296875,10948.990234375,38151810523,0,0,Bitcoin,BTC
2020-09-18,10951.8203125,11034.908203125,10829.6572265625,10944.5859375,26341903912,0,0,Bitcoin,BTC
2020-09-19,10933.7529296875,11134.0927734375,10909.6181640625,11094.3466796875,22764204008,0,0,Bitcoin,BTC
2020-09-20,11095.8701171875,11095.8701171875,10814.4775390625,10938.271484375,24699523788,0,0,Bitcoin,BTC
2020-09-21,10934.92578125,10988.3046875,10380.2607421875,10462.259765625,28884999244,0,0,Bitcoin,BTC
2020-09-22,10459.6240234375,10568.0771484375,10382.7265625,10538.4599609375,23621787804,0,0,Bitcoin,BTC
2020-09-23,10535.4921875,10537.828125,10197.865234375,10246.1865234375,23788661867,0,0,Bitcoin,BTC
2020-09-24,10248.7861328125,10771.056640625,10231.490234375,10760.06640625,47144380902,0,0,Bitcoin,BTC
2020-09-25,10761.109375,10777.6962890625,10578.9140625,10692.716796875,39348590957,0,0,Bitcoin,BTC
2020-09-26,10695.5751953125,10772.9990234375,10667.28125,10750.7236328125,46852525493,0,0,Bitcoin,BTC
2020-09-27,10746.892578125,10803.9765625,10622.921875,10775.26953125,53745972818,0,0,Bitcoin,BTC
2020-09-28,10776.61328125,10945.34765625,10703.8935546875,10709.65234375,47762394731,0,0,Bitcoin,BTC
2020-09-29,10709.650390625,10860.0009765625,10649.4951171875,10844.640625,46582396602,0,0,Bitcoin,BTC
2020-09-30,10843.87109375,10847.2568359375,10669.3212890625,10784.4912109375,44171073700,0,0,Bitcoin,BTC
2020-10-01,10795.2548828125,10933.6240234375,10472.3564453125,10619.4521484375,40023134100,0,0,Bitcoin,BTC
2020-10-02,10619.8212890625,10657.837890625,10416.689453125,10575.974609375,48661453918,0,0,Bitcoin,BTC
2020-10-03,10575.1005859375,10598.9404296875,10511.1298828125,10549.3291015625,44660271563,0,0,Bitcoin,BTC
2020-10-04,10550.4404296875,10686.0,10534.3916015625,10669.5830078125,71251776995,0,0,Bitcoin,BTC
2020-10-05,10676.529296875,10793.5078125,10634.6005859375,10793.33984375,47537578009,0,0,Bitcoin,BTC
2020-10-06,10796.306640625,10797.578125,10528.890625,10604.40625,42623695307,0,0,Bitcoin,BTC
2020-10-07,10603.35546875,10680.5078125,10562.5068359375,10668.96875,37799458436,0,0,Bitcoin,BTC
2020-10-08,10669.37109375,10945.7373046875,10562.6064453125,10915.685546875,63314794397,0,0,Bitcoin,BTC
2020-10-09,10927.9130859375,11102.671875,10846.8505859375,11064.4580078125,22799117613,0,0,Bitcoin,BTC
2020-10-10,11059.142578125,11442.2109375,11056.9404296875,11296.361328125,22877978588,0,0,Bitcoin,BTC
2020-10-11,11296.08203125,11428.8134765625,11288.6279296875,11384.181640625,19968627060,0,0,Bitcoin,BTC
2020-10-12,11392.6357421875,11698.4677734375,11240.6865234375,11555.36328125,26163972642,0,0,Bitcoin,BTC
2020-10-13,11548.7197265625,11548.984375,11321.224609375,11425.8994140625,24241420251,0,0,Bitcoin,BTC
2020-10-14,11429.0478515625,11539.9775390625,11307.8310546875,11429.5068359375,24103426719,0,0,Bitcoin,BTC
2020-10-15,11426.6025390625,11569.9140625,11303.603515625,11495.349609375,24487233058,0,0,Bitcoin,BTC
2020-10-16,11502.828125,11540.0615234375,11223.0126953125,11322.123046875,25635480772,0,0,Bitcoin,BTC
2020-10-17,11322.123046875,11386.26171875,11285.345703125,11358.1015625,19130430174,0,0,Bitcoin,BTC
2020-10-18,11355.982421875,11483.359375,11347.578125,11483.359375,18283314340,0,0,Bitcoin,BTC
2020-10-19,11495.0380859375,11799.0927734375,11408.2900390625,11742.037109375,23860769928,0,0,Bitcoin,BTC
2020-10-20,11745.974609375,11999.91796875,11681.48046875,11916.3349609375,30915821592,0,0,Bitcoin,BTC
2020-10-21,11913.0771484375,13184.56640625,11900.9287109375,12823.689453125,43414712626,0,0,Bitcoin,BTC
2020-10-22,12801.6357421875,13161.59375,12717.09375,12965.8916015625,34729759598,0,0,Bitcoin,BTC
2020-10-23,12971.548828125,13015.9619140625,12752.6474609375,12931.5390625,28974975003,0,0,Bitcoin,BTC
2020-10-24,12931.57421875,13145.06640625,12885.7470703125,13108.0625,24542317940,0,0,Bitcoin,BTC
2020-10-25,13108.0634765625,13329.18359375,12910.0615234375,13031.173828125,24406920575,0,0,Bitcoin,BTC
2020-10-26,13031.201171875,13225.2978515625,12822.3828125,13075.248046875,29461458313,0,0,Bitcoin,BTC
2020-10-27,13075.2421875,13759.6689453125,13060.837890625,13654.21875,33749878156,0,0,Bitcoin,BTC
2020-10-28,13654.21484375,13837.6953125,12932.2509765625,13271.28515625,35867318895,0,0,Bitcoin,BTC
2020-10-29,13271.298828125,13612.0478515625,12980.0595703125,13437.8828125,56499499598,0,0,Bitcoin,BTC
2020-10-30,13437.8740234375,13651.5166015625,13136.1982421875,13546.5224609375,30581485201,0,0,Bitcoin,BTC
2020-10-31,13546.5322265625,14028.2138671875,13457.5302734375,13780.9951171875,30306464719,0,0,Bitcoin,BTC
2020-11-01,13780.9951171875,13862.033203125,13628.3779296875,13737.109375,24453857900,0,0,Bitcoin,BTC
2020-11-02,13737.0322265625,13808.3232421875,13243.16015625,13550.4892578125,30771455468,0,0,Bitcoin,BTC
2020-11-03,13550.451171875,13984.9814453125,13325.44140625,13950.30078125,29869951617,0,0,Bitcoin,BTC
2020-11-04,13950.48828125,14218.7666015625,13580.4716796875,14133.70703125,35116364962,0,0,Bitcoin,BTC
2020-11-05,14133.7333984375,15706.404296875,14102.0888671875,15579.8486328125,40856321439,0,0,Bitcoin,BTC
2020-11-06,15579.7294921875,15903.4375,15226.83984375,15565.880859375,39837841971,0,0,Bitcoin,BTC
2020-11-07,15565.880859375,15737.095703125,14423.203125,14833.75390625,35024953706,0,0,Bitcoin,BTC
2020-11-08,14833.75390625,15637.3203125,14744.1103515625,15479.5673828125,26632075029,0,0,Bitcoin,BTC
2020-11-09,15479.595703125,15785.13671875,14865.529296875,15332.3154296875,34149115566,0,0,Bitcoin,BTC
2020-11-10,15332.3505859375,15450.3291015625,15124.9599609375,15290.90234375,25574938143,0,0,Bitcoin,BTC
2020-11-11,15290.9091796875,15916.2607421875,15290.0068359375,15701.33984375,29772374934,0,0,Bitcoin,BTC
